name,filename,attrib,description
paprika, paprika.jpg, Image taken from <a href="https://morguefile.com/">MorgueFile</a> free photo archive by GaborfromHungary, "Paprika is a spice made from a variety of ground peppers. Its flavor can range from mild to spicy, and even smokey or sweet! No matter what your preference is, paprika will add great flavor to any soups, stews, and many other meals."
rosemary, rosemary.jpg, Image taken from <a href="https://morguefile.com/">MorgueFile</a> free photo archive by Melodi2, "Rosemary is a must-have ingredient in anybodys spice rack. It will add delicious flavor to your meats, pizzas, and italian pasta dishes. Not only that, rosemary is proven to have numerous health benefits associated with it as well!"
spinach, spinach.jpg, Image taken from <a href="https://morguefile.com/">MorgueFile</a> free photo archive by Nourbese, "Spinach is a great addition to just about any meal. Whether you are cooking it in with a main dish or eating it raw in a salad, spinach tastes delicious and contains many essential vitamins to promote a healthy life."
arugula, arugula.jpg, Image taken from <a href="https://morguefile.com/">MorgueFile</a>, "Eruca sativa (syn. E. vesicaria subsp. sativa (Miller) Thell., Brassica eruca L.) is an edible annual plant, commonly known as rocket salad or arugula; other names include rucola, rucoli, rugula, colewort, and roquette."
bok choy, bok_choy.jpg, Image taken from <a href="https://morguefile.com/">MorgueFile</a>, "Bok choy or pak choi is a type of Chinese cabbage. Chinensis varieties do not form heads and have smooth, dark green leaf blades instead, forming a cluster reminiscent of mustard greens or celery. Chinensis varieties are popular in southern China and Southeast Asia. Being winter-hardy, they are increasingly grown in Northern Europe."
water chestnut, water_chestnut.jpg, Image taken from <a href="https://morguefile.com/">MorgueFile</a>, "The Chinese water chestnut or water chestnut (Eleocharis dulcis) is a grass-like sedge native to Asia (China, Japan, India, Philippines, etc.), Australia, tropical Africa, and various islands of the Pacific and Indian Oceans. It is grown in many countries for its edible corms."
